"ID","Naam","Type","Plaats","Adres","Website","PlaceID","Lat","Lng","Rating","Reviews"
"1","Boer in Natuur","winkel","Uden","Erenakkerstraat 4, Uden","True","True","51,6957874","5,6002557","True","True"
"2","De Volkelse Hooiberg","winkel","Volkel","Venstraat 3, Volkel","True","True","51,6512336","5,6635526","True","True"
"3","Bram's Hofke","winkel","Zeeland","Beemdsteeg 1, Zeeland","True","True","51,6805568","5,7023466","True","True"
"4","Cuppen-Ploegmakers","winkel","Zeeland","Kleine Graspeel 9, Zeeland","False","True","51,7027201","5,6819502","True","True"
"5","Siebe's Kaas","winkel","Erp","Kraanmeer 15, Erp","True","True","51,6269512","5,6110823","True","True"
"6","Lusthoffruit van den Biggelaar","automaat","Veghel","Heiakkerstraat 2-3, Veghel","False","True","51,6279689","5,580605","True","True"
"7","Het Maashorst Varken","winkel","Nistelrode","Loo 47, Nistelrode","True","True","51,7086081","5,5830558","True","True"
"8","Op 't Maxend","winkel","Nistelrode","Maxend 69, Nistelrode","True","True","51,6920516","5,5573767","True","True"
"9","Muchamp â€” Versautomaat","automaat","Boekel","Mutshoek 2a, Boekel","True","True","51,5888887","5,6747453","True","True"
"10","Speelboerderij Het Gouden Woud","onderweg","Liempde","Hamsestraat 18, Liempde","True","True","51,557791","5,377612","True","True"
"11","De Walhoeve boerderijwinkel","winkel","Goirle","Hoge Wal 15, Goirle","True","True","51,5326403","5,0860769","True","True"
"12","Eierautomaat De Leeuw De Laat","automaat","Made","Witteweg 12, Made","False","True","51,6859456","4,7808998","True","True"
"13","Boerderijwinkel Familie van den Kieboom","winkel","Breda","Rietdijk 4, Breda","True","True","51,6214178","4,7527676","True","True"
"14","Boerderijwinkel de Annahoeve","winkel","De Moer","Zijstraat 25, De Moer","True","True","51,628831","5,0132015","True","True"
"15","Landwinkel Hop & Zo","winkel","Breda","Grintweg 4, Breda","True","True","51,6184024","4,7140012","True","True"
"16","Boerderijwinkel Hoefhuys","winkel","Genderen","Hoefstraat 39, Genderen","True","True","51,7344928","5,0843858","True","True"
"17","Vermeulen Eieren","automaat","Riel","Schellebaan 2, Riel","True","True","51,5177331","4,9966627","True","True"
"18","Eibaar","automaat","Den Bommel","Tilsedijk 6, Den Bommel","True","True","51,7025734","4,2605799","True","True"
"19","Boerderijautomaat 'Kersvers'","automaat","Ysselsteyn","Puttenweg 92, Ysselsteyn","True","True","51,4746088","5,9241653","True","True"
"20","Asperges, aardbeien & eieren automaat","automaat","Ommel","Busserdijk 7, Ommel","True","True","51,4281479","5,7540604","True","True"
"21","Melktap Melkveehouderij Van Gastel","automaat","Rucphen","Rucphenseweg 31, Rucphen","True","True","51,5458685","4,5463365","True","True"
"22","Melktap Ulicoten","automaat","Ulicoten","Molenstraat 20, Ulicoten","False","True","51,4458099","4,8487715","True","True"
"23","Melktap bij Boer Bloem","automaat","Hooge Zwaluwe","Moerseweg 2a, Hooge Zwaluwe","True","True","51,682183","4,7577564","True","True"
"24","Melktap de Hugtenhoeve","automaat","Maarheeze","Hugten 24, Maarheeze","True","True","51,3213919","5,6667289","True","True"
"25","Melktap de Leegvelder","automaat","Deurne","Leegveld 6, Deurne","True","True","51,4428667","5,8598185","True","True"
"26","Boerderijwinkel van der Heijden","winkel","Den Dungen","Bosscheweg 54, Den Dungen","True","True","51,672851","5,359749","True","True"
"27","A2A2 De Puurste Zuivel","winkel","'s-Hertogenbosch","Nieuwe Dijk 2, 's-Hertogenbosch","True","True","51,6686462","5,3380683","True","True"
"28","Boerderijwinkel Ons Jos","winkel","Helvoirt","Nieuwkuijkseweg 38, Helvoirt","True","True","51,6464435","5,2194896","True","True"
"29","Boerderijwinkel van Boer Jos","winkel","Riel","Zandeind 34, Riel","True","True","51,5318026","5,0166463","True","True"
"30","Boerderijwinkel Piet van Meintjes Hoeve","winkel","Heukelom","Hoog Heukelom 11, Heukelom","True","True","51,5803136","5,16537","True","True"
"31","Biologische boerderij 't Schop","winkel","Hilvarenbeek","Esbeekseweg 2, Hilvarenbeek","True","True","51,4771095","5,140265","True","True"
"32","De Genneper Hoeve","winkel","Eindhoven","Tongelreeppad 1, Eindhoven","True","True","51,4202755","5,4745052","True","True"
"33","BOERDEREIKE","winkel","Eindhoven","Aanschot 80, Eindhoven","True","True","51,4892633","5,4662513","True","True"
"34","Boerderijwinkel De Kruisbrink","winkel","Toldijk","Kruisbrinkseweg 7, Toldijk","True","True","52,0545176","6,21528","True","True"
"35","Fruitbedrijf Horstink","winkel","Rha","Prinsenmaatweg 3, Rha","True","True","52,0538017","6,1631034","True","True"
"36","Biologische Boerderij Veld en Beek","winkel","Doorwerth","Fonteinallee 33, Doorwerth","True","True","51,9707784","5,7617851","True","True"
"37","Biologische boerderijwinkel De Nieuwenburgt","winkel","Spankeren","Kappersweg 5, Spankeren","True","True","52,0680588","6,1090817","True","True"
"38","Landwinkel IJsseloord","winkel","Arnhem","Schaapdijk 9, Arnhem","True","True","51,9744072","5,9602822","True","True"
